revises,exact,count,row_total,row_frac,row_pct_str
no,no,147,3802,0.0386638611257233,147/3802 (3.8664%)
no,yes,3655,3802,0.9613361388742767,3655/3802 (96.1336%)
yes,no,367,367,1.0,367/367 (100.0000%)
yes,yes,0,367,0.0,0/367 (0.0000%)
