n_struct_rev,count,pct_str
0,3802,3802/4169 (91.1969%)
1,292,292/4169 (7.0041%)
2,65,65/4169 (1.5591%)
3,7,7/4169 (0.1679%)
4,1,1/4169 (0.0240%)
6,2,2/4169 (0.0480%)
