n_params,n_hol,n_revise,pct_str
2,17,0,0/17 (0.0000%)
3,130,0,0/130 (0.0000%)
4,276,0,0/276 (0.0000%)
5,263,44,44/263 (16.7300%)
6,315,33,33/315 (10.4762%)
7,208,26,26/208 (12.5000%)
8,84,22,22/84 (26.1905%)
9,25,5,5/25 (20.0000%)
10,78,15,15/78 (19.2308%)
12,89,14,14/89 (15.7303%)
14,125,23,23/125 (18.4000%)
15,14,6,6/14 (42.8571%)
16,3,2,2/3 (66.6667%)
18,12,3,3/12 (25.0000%)
20,11,8,8/11 (72.7273%)
21,38,13,13/38 (34.2105%)
