anum,name,true_class,strict_leading,n_d,n_id,order,degree,L_H,n_singular,full_fit,n_revisions,n_struct_rev,final_lambda,growth
A001813,(2n)!/n!,PREC,1,7.0,7.0,1.0,1.0,26.0,0.0,True,1,0,0.004658663321985307,56.44113431349373
A001764,"binom(3n,n)/(2n+1)",PREC,1,9.0,9.0,1.0,2.0,56.0,0.0,True,1,0,0.021268515001898976,26.372494537258007
A000407,(2n+1)!/n!,PREC,1,7.0,7.0,1.0,1.0,28.0,0.0,True,1,0,0.0047481770391724605,59.661314102854455
A006882,n!!,PREC,1,10.0,10.0,2.0,1.0,32.0,0.0,True,1,0,0.017269293038316244,18.380956942249433
A000040,primes,NONH,1,,,,,,,False,0,0,1.0,3.774765698557357
A000041,partitions p(n),NONH,1,,,,,,,False,0,0,1.0,5.294737319619373
A000009,distinct partitions,NONH,1,,,,,,,False,0,0,1.0,3.463284595170553
A000110,Bell,NONH,1,,,,,,,False,0,0,1.0,26.428513857729904
A000670,Fubini / ordered Bell,NONH,1,,,,,,,False,0,0,1.0,41.13466853439074
A000005,number of divisors,NONH,1,,,,,,,False,0,0,1.0,1.4869512307417936
A000010,Euler phi,NONH,1,,,,,,,False,0,0,1.0,2.216458072104559
A000203,sigma,NONH,1,,,,,,,False,0,0,1.0,3.103383509659976
A002110,primorial,NONH,1,,,,,,,False,0,0,1.0,51.38637939857556
A000720,pi(n),NONH,1,,,,,,,False,0,0,1.0,1.910781787057861
A005132,Recaman,NONH,1,,,,,,,False,0,0,1.0,2.878315210461395
A000002,Kolakoski,NONH,1,,,,,,,False,0,0,1.0,0.883954290257905
A006577,Collatz steps,NONH,1,,,,,,,False,0,0,1.0,2.470821601334429
A005185,Hofstadter Q,NONH,1,,,,,,,False,0,0,1.0,2.2546999495244178
A004001,Hofstadter-Conway,NONH,1,,,,,,,False,0,0,1.0,2.210960739242718
A000027,naturals,POLY,0,7.0,7.0,2.0,0.0,24.0,0.0,True,1,0,0.0761904761904762,2.7098875177555026
A005843,even numbers,POLY,0,7.0,7.0,2.0,0.0,22.0,0.0,True,1,0,0.060941828254847646,3.2296650040557213
A005408,odd numbers,POLY,0,7.0,7.0,2.0,0.0,26.0,0.0,True,1,0,0.06970509383378017,3.2984656376834063
A000217,triangular,POLY,0,7.0,7.0,1.0,1.0,26.0,1.0,True,1,0,0.053388090349075976,4.480229081371014
A000290,squares,POLY,0,9.0,9.0,1.0,2.0,32.0,1.0,True,1,0,0.05871559633027523,5.040615774500301
A002378,oblong,POLY,0,7.0,7.0,1.0,1.0,26.0,1.0,True,1,0,0.04753199268738574,5.1321480315161025
A000578,cubes,POLY,0,10.0,11.0,1.0,3.0,44.0,1.0,True,2,1,0.05590851334180432,7.530885342911962
A000292,tetrahedral,POLY,0,7.0,7.0,1.0,1.0,28.0,1.0,True,1,0,0.04354587869362364,6.091394741255413
A000326,pentagonal,POLY,0,9.0,9.0,3.0,0.0,38.0,0.0,True,1,0,0.06608695652173913,5.386753177685078
A000384,hexagonal,POLY,0,9.0,9.0,1.0,2.0,36.0,1.0,True,1,0,0.06010016694490818,5.638441129753523
A002061,central polygonal,POLY,0,9.0,9.0,1.0,2.0,34.0,0.0,True,1,0,0.0633147113594041,4.987155619287027
A000583,fourth powers,POLY,0,13.0,13.0,1.0,4.0,52.0,1.0,True,1,0,0.05014464802314368,10.029157921581076
A005563,n(n+2),POLY,0,9.0,9.0,1.0,2.0,40.0,1.0,True,1,0,0.07104795737122557,5.210636914246923
A001105,2n^2,POLY,0,9.0,9.0,1.0,2.0,32.0,1.0,True,1,0,0.052545155993431854,5.696652180269123
A000330,square pyramidal,POLY,0,9.0,10.0,2.0,1.0,36.0,0.0,True,2,1,0.051798561151079135,6.6279772446938505
A000045,Fibonacci,CFIN,0,7.0,7.0,2.0,0.0,22.0,0.0,True,1,0,0.028985507246376812,7.240734264518597
A000032,Lucas,CFIN,0,7.0,7.0,2.0,0.0,24.0,0.0,True,1,0,0.028811524609843937,8.007031313029866
A000129,Pell,CFIN,0,7.0,7.0,2.0,0.0,22.0,0.0,True,1,0,0.01595358955765047,13.579167813343416
A001333,NSW / Pell-Lucas,CFIN,0,7.0,7.0,2.0,0.0,24.0,0.0,True,1,0,0.016985138004246284,13.921150981113268
A001045,Jacobsthal,CFIN,0,7.0,7.0,2.0,0.0,22.0,0.0,True,1,0,0.02042711234911792,10.436140682692576
A000073,Tribonacci,CFIN,0,9.0,9.0,3.0,0.0,30.0,0.0,True,1,0,0.03389830508474576,8.515298895983939
A000931,Padovan,CFIN,0,9.0,9.0,3.0,0.0,28.0,0.0,True,1,0,0.07466666666666667,3.249727603800996
A001608,Perrin,CFIN,0,9.0,9.0,3.0,0.0,32.0,0.0,True,1,0,0.06262230919765166,4.733848043128734
A000079,powers of 2,CFIN,0,6.0,5.0,1.0,0.0,16.0,0.0,True,0,0,0.013300083125519535,11.482870356683277
A000244,powers of 3,CFIN,0,6.0,5.0,1.0,0.0,18.0,0.0,True,0,0,0.009841443411700382,18.16066131722979
A000302,powers of 4,CFIN,0,6.0,5.0,1.0,0.0,18.0,0.0,True,0,0,0.007741935483870968,22.903198715997735
A000225,Mersenne 2^n-1,CFIN,0,7.0,7.0,2.0,0.0,24.0,0.0,True,1,0,0.019983347210657785,11.436928479239098
A002605,a=2a+2a,CFIN,0,7.0,7.0,2.0,0.0,22.0,0.0,True,1,0,0.014093529788597053,15.422363211506433
A006190,a=3a+a,CFIN,0,7.0,7.0,2.0,0.0,24.0,0.0,True,1,0,0.012868632707774798,18.504105370770027
A001519,odd-index Fibonacci,CFIN,0,7.0,7.0,2.0,0.0,26.0,0.0,True,1,0,0.017461383478844864,14.70489585496996
A000225b,3^n - 2^n,CFIN,0,7.0,7.0,2.0,0.0,26.0,0.0,True,1,0,0.01426220515633571,18.076493116401846
A000142,factorial,PREC,0,7.0,7.0,1.0,1.0,24.0,0.0,True,1,0,0.0068201193520886615,35.412283834037744
A000108,Catalan,PREC,0,7.0,7.0,1.0,1.0,28.0,0.0,True,1,0,0.015045674368619023,18.508429947382936
A000984,central binomial,PREC,0,7.0,7.0,1.0,1.0,28.0,0.0,True,1,0,0.013263855992420654,21.09150454989778
A000166,derangements,PREC,0,10.0,10.0,2.0,1.0,34.0,0.0,True,1,0,0.009903874162540053,34.47557390760269
A001006,Motzkin,PREC,0,10.0,10.0,2.0,1.0,46.0,0.0,True,1,0,0.031018206338503034,14.575540531603522
A005043,Riordan,PREC,0,10.0,10.0,2.0,1.0,42.0,0.0,True,1,0,0.03076923076923077,13.369518782359089
A000085,involutions,PREC,0,10.0,10.0,2.0,1.0,34.0,0.0,True,1,0,0.016957605985037406,19.950371451956396
A001147,double factorial !!,PREC,0,7.0,7.0,1.0,1.0,24.0,0.0,True,1,0,0.005375139977603583,45.02072265685172
A000255,permutations A000255,PREC,0,10.0,10.0,2.0,1.0,36.0,0.0,True,1,0,0.00974817221770918,37.122504834413924
A002720,A002720,PREC,0,13.0,13.0,2.0,2.0,46.0,0.0,True,1,0,0.011372064276885044,40.81301848355659
A000165,2^n n!,PREC,0,7.0,7.0,1.0,1.0,24.0,0.0,True,1,0,0.005173528777753826,46.826955078136024
A001813,(2n)!/n!,PREC,0,7.0,7.0,1.0,1.0,26.0,0.0,True,1,0,0.004658663321985307,56.44113431349373
A001764,"binom(3n,n)/(2n+1)",PREC,0,9.0,9.0,1.0,2.0,56.0,0.0,True,1,0,0.021268515001898976,26.372494537258007
A000407,(2n+1)!/n!,PREC,0,7.0,7.0,1.0,1.0,28.0,0.0,True,1,0,0.0047481770391724605,59.661314102854455
A006882,n!!,PREC,0,10.0,10.0,2.0,1.0,32.0,0.0,True,1,0,0.017269293038316244,18.380956942249433
A000040,primes,NONH,0,,,,,,,False,0,0,1.0,3.774765698557357
A000041,partitions p(n),NONH,0,,,,,,,False,0,0,1.0,5.294737319619373
