nbin,n,rev_rate,exact_rate
"(19, 22]",850,0.05529411764705883,0.92
"(22, 25]",585,0.10427350427350428,0.8700854700854701
"(25, 28]",479,0.12734864300626306,0.8475991649269311
"(28, 31]",378,0.11904761904761904,0.8650793650793651
"(31, 34]",3912,0.5593047034764826,0.41692229038854806
