anum,name,true_class,n_d,n_id,n_x,pred,order,degree,L_H,growth,regime,n_revisions,n_struct_rev,final_lambda
A001147,double factorial !!,PREC,7.0,7.0,4.0,7.0,1.0,1.0,24.0,4.4810072971291826,identification-limited,1,0,0.005375139977603583
A000255,permutations A000255,PREC,10.0,10.0,5.0,10.0,2.0,1.0,36.0,3.7174778161110225,identification-limited,1,0,0.00974817221770918
A002720,A002720,PREC,13.0,13.0,5.0,13.0,2.0,2.0,46.0,3.9890913058488167,identification-limited,1,0,0.011372064276885044
A000165,2^n n!,PREC,7.0,7.0,4.0,7.0,1.0,1.0,24.0,4.579636993285845,identification-limited,1,0,0.005173528777753826
A001813,(2n)!/n!,PREC,7.0,7.0,4.0,7.0,1.0,1.0,26.0,5.4515955324233,identification-limited,1,0,0.004658663321985307
A001764,"binom(3n,n)/(2n+1)",PREC,9.0,9.0,6.0,9.0,1.0,2.0,56.0,2.3907495371763963,identification-limited,1,0,0.021268515001898976
A000407,(2n+1)!/n!,PREC,7.0,7.0,4.0,7.0,1.0,1.0,28.0,5.63000992037794,identification-limited,1,0,0.0047481770391724605
A006882,n!!,PREC,10.0,10.0,6.0,10.0,2.0,1.0,32.0,1.8369858029951804,identification-limited,1,0,0.017269293038316244
A000040,primes,NONH,,,,,,,,0.20998680448231746,unfittable,0,0,1.0
A000041,partitions p(n),NONH,,,,,,,,0.39142591896011825,unfittable,0,0,1.0
A000009,distinct partitions,NONH,,,,,,,,0.259228858565207,unfittable,0,0,1.0
A000110,Bell,NONH,,,,,,,,2.6587227297435767,unfittable,0,0,1.0
A000670,Fubini / ordered Bell,NONH,,,,,,,,4.1084033662307435,unfittable,0,0,1.0
A000005,number of divisors,NONH,,,,,,,,0.07602830884473988,unfittable,0,0,1.0
A000010,Euler phi,NONH,,,,,,,,0.12264485298359741,unfittable,0,0,1.0
A000203,sigma,NONH,,,,,,,,0.170804556531106,unfittable,0,0,1.0
A002110,primorial,NONH,,,,,,,,5.164388696033619,unfittable,0,0,1.0
A000720,pi(n),NONH,,,,,,,,0.10883646229826742,unfittable,0,0,1.0
A005132,Recaman,NONH,,,,,,,,0.18646617655543013,unfittable,0,0,1.0
A000002,Kolakoski,NONH,,,,,,,,0.04661654413885753,unfittable,0,0,1.0
A006577,Collatz steps,NONH,,,,,,,,0.11490854692966232,unfittable,0,0,1.0
A005185,Hofstadter Q,NONH,,,,,,,,0.1311597534893323,unfittable,0,0,1.0
A004001,Hofstadter-Conway,NONH,,,,,,,,0.1271155322025695,unfittable,0,0,1.0
