anum,n_terms,found,class,order,degree,L_H,n_singular,error
A027192,71,False,genuine_spurious,,,,,
A027196,62,False,genuine_spurious,,,,,
A027197,64,False,genuine_spurious,,,,,
A027198,75,False,genuine_spurious,,,,,
A027349,70,False,genuine_spurious,,,,,
A027352,79,False,genuine_spurious,,,,,
A027353,80,False,genuine_spurious,,,,,
A027358,67,False,genuine_spurious,,,,,
A027826,32,False,undetermined,,,,,
A027828,49,False,genuine_spurious,,,,,
A027855,72,False,genuine_spurious,,,,,
A027870,105,False,genuine_spurious,,,,,
A027921,56,False,genuine_spurious,,,,,
A027923,65,False,genuine_spurious,,,,,
A027926,81,False,genuine_spurious,,,,,
A028240,33,False,undetermined,,,,,
A028277,71,False,genuine_spurious,,,,,
A028382,32,False,undetermined,,,,,
A028384,48,False,genuine_spurious,,,,,
A028424,51,True,truncation_artifact,6.0,2.0,264.0,2.0,
A028613,105,False,genuine_spurious,,,,,
A028621,81,False,genuine_spurious,,,,,
A028629,81,False,genuine_spurious,,,,,
A028631,63,False,genuine_spurious,,,,,
A028632,57,False,genuine_spurious,,,,,
A028637,81,False,genuine_spurious,,,,,
A028639,65,False,genuine_spurious,,,,,
A028640,59,False,genuine_spurious,,,,,
A028645,81,False,genuine_spurious,,,,,
A028647,66,False,genuine_spurious,,,,,
A028648,60,False,genuine_spurious,,,,,
A028655,67,False,genuine_spurious,,,,,
A028656,72,False,genuine_spurious,,,,,
A028663,68,False,genuine_spurious,,,,,
A028664,62,False,genuine_spurious,,,,,
A028703,63,False,genuine_spurious,,,,,
A028706,81,False,genuine_spurious,,,,,
A028708,59,False,genuine_spurious,,,,,
A028709,55,False,genuine_spurious,,,,,
