anum,n_terms,found,class,order,degree,L_H,n_singular,error
A016371,81,False,genuine_spurious,,,,,
A016373,81,False,genuine_spurious,,,,,
A016376,81,False,genuine_spurious,,,,,
A016378,81,False,genuine_spurious,,,,,
A016380,81,False,genuine_spurious,,,,,
A016381,81,False,genuine_spurious,,,,,
A016382,81,False,genuine_spurious,,,,,
A016386,81,False,genuine_spurious,,,,,
A016387,81,False,genuine_spurious,,,,,
A016391,81,False,genuine_spurious,,,,,
A016394,81,False,genuine_spurious,,,,,
A016395,81,False,genuine_spurious,,,,,
A016396,81,False,genuine_spurious,,,,,
A016399,81,False,genuine_spurious,,,,,
A016401,81,False,genuine_spurious,,,,,
A016402,81,False,genuine_spurious,,,,,
A016403,81,False,genuine_spurious,,,,,
A016405,81,False,genuine_spurious,,,,,
A016408,81,False,genuine_spurious,,,,,
A016411,81,False,genuine_spurious,,,,,
A016412,81,False,genuine_spurious,,,,,
A016413,81,False,genuine_spurious,,,,,
A016418,81,False,genuine_spurious,,,,,
A016419,81,False,genuine_spurious,,,,,
A016420,81,False,genuine_spurious,,,,,
A016422,81,False,genuine_spurious,,,,,
A016423,81,False,genuine_spurious,,,,,
A016424,81,False,genuine_spurious,,,,,
A016426,81,False,genuine_spurious,,,,,
A017821,41,False,genuine_spurious,,,,,
A017822,41,False,genuine_spurious,,,,,
A017823,41,False,genuine_spurious,,,,,
A017824,41,False,genuine_spurious,,,,,
A017825,41,False,genuine_spurious,,,,,
A017826,41,False,genuine_spurious,,,,,
A017832,45,False,genuine_spurious,,,,,
A017833,45,False,genuine_spurious,,,,,
A017834,44,False,genuine_spurious,,,,,
A017835,44,False,genuine_spurious,,,,,
A017836,44,False,genuine_spurious,,,,,
A017843,47,False,genuine_spurious,,,,,
A017844,47,False,genuine_spurious,,,,,
A017845,47,False,genuine_spurious,,,,,
A017846,47,False,genuine_spurious,,,,,
A017847,79,False,genuine_spurious,,,,,
A017848,58,False,genuine_spurious,,,,,
A017849,54,False,genuine_spurious,,,,,
A017850,53,False,genuine_spurious,,,,,
