revises,exact,count,row_total,row_frac,row_pct_str
no,no,200,2465,0.08113590263691683,200/2465 (8.1136%)
no,yes,2265,2465,0.9188640973630832,2265/2465 (91.8864%)
yes,no,315,315,1.0,315/315 (100.0000%)
yes,yes,0,315,0.0,0/315 (0.0000%)
