n_params,n_hol,n_revise,pct_str
2,166,0,0/166 (0.0000%)
3,449,0,0/449 (0.0000%)
4,421,0,0/421 (0.0000%)
5,325,70,70/325 (21.5385%)
6,562,58,58/562 (10.3203%)
7,228,40,40/228 (17.5439%)
8,83,16,16/83 (19.2771%)
9,61,9,9/61 (14.7541%)
10,113,19,19/113 (16.8142%)
12,87,11,11/87 (12.6437%)
14,191,56,56/191 (29.3194%)
15,13,6,6/13 (46.1538%)
16,3,2,2/3 (66.6667%)
18,15,10,10/15 (66.6667%)
20,4,3,3/4 (75.0000%)
21,59,15,15/59 (25.4237%)
