anum,n_terms,max_digit_len,wall_s,cpu_s,full_fit,prefix_only,n_struct_rev,error
A313523,50,3,17.935163300000568,6.078125,False,False,0,
A314465,50,3,11.185465599999588,4.671875,False,False,0,
A315071,50,3,22.11138370000026,8.046875,False,False,0,
A315994,50,3,16.40465690000019,5.015625,False,False,0,
A316460,57,3,17.413776500000495,6.5,False,False,0,
A316845,60,1,26.047708300000522,7.578125,False,False,0,
A316906,33,7,4.288730000000214,1.21875,False,False,0,
A317932,60,3,40.58925139999974,9.859375,False,False,0,
A318355,30,17,2.3226035999996384,0.84375,False,False,0,
A318577,60,2,23.986502100000507,8.015625,False,True,1,
A320912,60,3,31.780182599999534,10.453125,False,False,0,
A321001,36,5,5.471387499999764,1.53125,False,False,0,
A322149,49,8,12.142517100000077,4.25,False,False,0,
A325350,54,4,15.775784899999962,5.890625,False,False,0,
A327288,39,8,10.455709800000477,2.828125,False,False,0,
A327861,60,1,16.713263200000256,5.9375,False,False,0,
A328383,60,2,25.493443300000763,8.40625,False,False,0,
A328720,60,2,8.176595099999759,7.578125,False,False,0,
A329544,60,3,23.67027760000019,7.78125,False,False,0,
A329687,55,9,8.067750899999737,3.3125,True,False,0,
A330933,33,7,3.3717677000004187,1.1875,False,False,0,
A331893,49,4,15.189699799999289,4.546875,False,False,0,
A331942,30,14,4.652981500000351,1.09375,False,False,0,
A332931,60,2,22.885335699999814,7.9375,False,False,0,
A333369,60,3,13.93145530000038,7.828125,False,False,0,
A333526,56,3,27.470295500000248,6.859375,False,False,0,
A334954,60,2,21.848590700000386,8.640625,False,False,0,
A335075,59,3,32.19720570000027,9.65625,False,False,0,
A335152,60,2,25.109361499999977,8.046875,False,False,0,
A335856,60,3,18.223233900000196,7.953125,False,False,0,
A336771,40,8,5.685197499999958,1.96875,False,False,0,
A338195,56,3,18.12785199999962,6.859375,False,False,0,
A338572,60,2,15.928598099999363,8.0,False,False,0,
A338854,60,2,11.963019400000121,7.375,False,False,0,
A339190,45,11,8.168127799999638,3.40625,False,False,0,
A340077,60,3,22.763523100000384,8.140625,False,False,0,
A343728,36,8,6.055274000000281,1.90625,False,False,0,
A343826,53,3,20.30979120000029,5.59375,False,False,0,
A345147,60,2,20.275087500000154,7.0,False,False,0,
A345310,60,6,19.664327100000264,7.890625,False,False,0,
A347455,55,3,18.795493200000237,6.421875,False,False,0,
A347573,50,5,12.671760599999288,4.90625,False,False,0,
A348160,46,4,10.710611399999834,3.75,False,False,0,
A348358,59,3,12.110787500000697,7.484375,False,False,0,
A348784,60,3,19.997237599999607,8.359375,False,False,0,
A349306,50,4,14.428385500000331,5.109375,False,False,0,
A350044,48,4,6.375114599999506,4.609375,False,True,1,
A350733,60,6,20.345439000000624,6.828125,False,True,1,
A351836,60,2,29.980828599999768,7.234375,False,True,1,
A351860,50,5,28.748313699999926,17.515625,True,False,0,
A352140,56,3,34.58630170000015,8.03125,False,False,0,
A352244,32,8,5.364424300000792,1.3125,False,False,0,
A353057,39,6,8.346634399999857,2.9375,False,False,0,
A353489,60,1,11.893999099999746,4.6875,False,True,1,
A353954,60,4,24.799280199999885,8.015625,False,False,0,
A359227,60,1,21.267820200000642,6.484375,False,False,0,
A359765,60,3,23.25805769999988,8.546875,False,False,0,
A361127,57,3,24.268228500000077,7.25,False,False,0,
A361203,59,3,21.943386299999474,8.171875,False,True,1,
A361852,50,5,16.24269000000004,4.765625,False,False,0,
A362826,60,4,20.78633759999957,5.96875,False,True,1,
A362922,60,1,17.368145399999776,7.28125,False,False,0,
A363016,33,12,4.773271099999874,1.609375,False,False,0,
A363723,60,4,39.983803199999784,8.90625,False,False,0,
A365428,60,1,16.938344600000164,6.265625,False,False,0,
A365787,60,3,24.15182629999981,8.234375,False,False,0,
A366161,60,2,37.79161930000009,10.234375,False,False,0,
A368912,60,1,12.168280699999741,4.890625,False,True,1,
A368992,60,1,19.134777700000086,7.03125,False,True,1,
A369379,50,3,5.656780199999957,1.75,False,False,0,
A369901,54,4,57.84058410000034,19.515625,False,False,0,
A369995,36,2,1.2702868000005765,1.125,False,True,1,
A371503,60,1,29.163549599999897,10.015625,False,False,0,
A371843,39,9,3.2916768000004595,0.8125,True,False,0,
A371894,60,3,24.355780199999572,7.625,False,False,0,
A372119,60,2,103.95915779999996,27.71875,False,False,0,
A373408,60,3,18.53721620000033,7.140625,False,False,0,
A374590,55,3,20.629008900000372,6.875,False,False,0,
A377030,60,1,20.557971299999735,7.453125,False,True,1,
A377591,38,6,9.88465559999986,2.609375,False,False,0,
A379845,45,4,10.261585000000196,3.375,False,False,0,
A380477,60,1,8.885980699999891,4.921875,False,False,0,
A381019,60,3,31.791504200000418,10.140625,False,False,0,
A381247,33,7,3.443287099999907,1.40625,False,False,0,
A381606,55,4,20.833499700000175,6.765625,False,False,0,
A381949,34,11,3.712422599999627,1.421875,False,False,0,
A382129,60,3,23.079439500000262,7.875,False,False,0,
A382585,60,1,21.796646300000248,7.765625,False,False,0,
A382656,30,13,0.94458030000078,0.84375,True,False,0,
A382661,50,4,16.11577219999981,4.6875,False,False,0,
A383095,60,2,21.76455519999945,7.71875,False,False,0,
A383226,42,5,10.24109099999987,3.53125,False,False,0,
A383705,60,3,26.047978599999624,8.6875,False,False,0,
A383715,55,8,19.285925600000155,6.734375,False,False,0,
A383799,53,7,17.5350398999999,5.0,False,True,1,
A385165,43,6,3.016067500000645,2.90625,False,False,0,
A386224,47,4,5.75645540000005,4.15625,False,False,0,
A386317,60,3,24.91469379999944,8.453125,False,False,0,
A386838,60,2,13.000652499999887,7.125,False,False,0,
A389501,55,3,16.581011500000386,6.546875,False,False,0,
A390691,60,2,16.141840299999785,8.1875,False,False,0,
A392248,55,3,16.78623990000051,6.625,False,False,0,
A392743,60,1,14.348761700000068,5.4375,False,False,0,
A392867,60,3,22.049867699999595,8.625,False,False,0,
A393047,58,4,22.636383600000045,7.890625,False,False,0,
A394021,60,3,25.94699860000037,8.546875,False,False,0,
A394629,60,3,25.4824122,9.296875,False,False,0,
A394962,60,1,13.205420000000231,7.875,False,False,0,
A395738,43,7,4.373300600000221,3.125,False,False,0,
A395955,38,12,6.827628799999729,2.109375,False,False,0,
A396907,55,6,20.402490200000102,5.75,False,False,0,
A397007,60,1,29.37324279999939,9.515625,False,False,0,
A397229,60,1,32.12632140000005,7.75,False,False,0,
