params,n,rev_rate
2.0,166,0.0
3.0,449,0.0
4.0,421,0.0
5.0,325,0.2153846153846154
6.0,562,0.10320284697508897
7.0,228,0.17543859649122806
8.0,83,0.1927710843373494
9.0,61,0.14754098360655737
10.0,113,0.168141592920354
12.0,87,0.12643678160919541
14.0,191,0.2931937172774869
15.0,13,0.46153846153846156
16.0,3,0.6666666666666666
18.0,15,0.6666666666666666
20.0,4,0.75
21.0,59,0.2542372881355932
